Frame,Track_id,x_min,x_max,y_min,y_max
3,1,282,308,58,86
3,2,228,256,191,218
3,3,95,127,197,219
3,4,81,112,466,494
3,5,443,475,277,305
4,1,282,308,58,86
4,2,228,256,191,218
4,3,93,125,194,216
4,4,81,112,466,494
4,5,443,475,278,306
5,1,283,309,58,86
5,2,228,256,191,218
5,3,91,123,192,214
5,4,81,112,466,494
5,5,444,476,278,306
6,1,283,309,58,86
6,2,228,256,191,218
6,3,89,121,190,212
6,4,81,112,466,494
6,5,445,477,278,306
7,1,283,309,58,86
7,2,228,256,192,219
7,3,87,119,188,210
7,4,80,111,466,494
7,5,445,477,279,307
8,1,284,310,58,86
8,2,228,256,192,219
8,3,85,117,185,207
8,4,80,111,466,494
8,5,446,478,279,307
9,1,284,310,58,86
9,2,228,256,192,219
9,3,83,115,183,205
9,4,79,110,466,494
9,5,447,479,280,308
10,1,284,310,58,86
10,2,228,256,193,220
10,3,81,113,180,202
10,4,79,110,466,494
10,5,447,479,280,308
11,1,284,310,58,86
11,2,228,256,193,220
11,3,79,111,178,200
11,4,79,110,466,494
11,5,448,480,280,308
12,1,285,311,58,86
12,2,228,256,193,220
12,3,77,109,176,198
12,4,79,110,466,494
12,5,449,481,281,309
13,1,285,311,58,86
13,2,228,256,193,220
13,3,75,107,173,195
13,4,79,110,466,494
13,5,449,481,281,309
14,1,285,311,58,86
14,2,228,256,194,221
14,3,73,105,171,193
14,4,79,110,466,494
14,5,450,482,282,310
15,1,286,312,58,86
15,2,228,256,194,221
15,3,71,103,169,191
15,4,79,110,466,494
15,5,451,483,282,310
16,1,286,312,58,86
16,2,228,256,194,221
16,3,69,101,167,189
16,4,78,109,466,494
16,5,451,483,282,310
17,1,286,312,58,86
17,2,228,256,194,221
17,3,67,99,164,186
17,4,78,109,466,494
17,5,452,484,283,311
18,1,287,313,58,86
18,2,228,256,194,221
18,3,65,97,162,184
18,4,78,109,466,494
18,5,453,485,283,311
19,1,287,313,58,86
19,2,228,256,194,221
19,3,63,95,160,182
19,4,78,109,466,494
19,5,453,485,284,312
20,1,287,313,58,86
20,2,228,256,195,222
20,3,61,93,157,179
20,4,78,109,466,494
20,5,454,486,284,312
21,1,287,313,58,86
21,2,228,256,195,222
21,3,59,91,155,177
21,4,78,109,466,494
21,5,455,487,284,312
22,1,288,314,58,86
22,2,228,256,195,222
22,3,57,89,153,175
22,4,77,108,466,494
22,5,455,487,285,313
23,1,288,314,58,86
23,2,228,256,196,223
23,3,55,87,150,172
23,4,77,108,466,494
23,5,456,488,285,313
24,1,288,314,58,86
24,2,228,256,196,223
24,3,53,85,148,170
24,4,77,108,466,494
24,5,457,489,286,314
25,1,289,315,58,86
25,2,228,256,196,223
25,3,51,83,146,168
25,4,77,108,466,494
25,5,457,489,286,314
26,1,289,315,58,86
26,2,228,256,196,223
26,3,49,81,144,166
26,4,77,108,466,494
26,5,458,490,286,314
27,1,289,315,58,86
27,2,228,256,197,224
27,3,47,79,141,163
27,4,77,108,466,494
27,5,459,491,287,315
28,1,289,315,58,86
28,2,228,256,197,224
28,3,45,77,139,161
28,4,77,108,466,494
28,5,459,491,287,315
29,1,290,316,59,87
29,2,228,256,197,224
29,3,43,75,137,159
29,4,76,107,466,494
29,5,460,492,288,316
30,1,290,316,59,87
30,2,229,257,197,224
30,3,41,73,135,157
30,4,76,107,466,494
30,5,461,493,288,316
31,1,290,316,59,87
31,2,229,257,198,225
31,3,39,71,132,154
31,4,76,107,466,494
31,5,461,493,288,316
32,1,291,317,59,87
32,2,229,257,198,225
32,3,37,69,130,152
32,4,76,107,466,494
32,5,462,494,289,317
33,1,291,317,59,87
33,2,229,257,198,225
33,3,35,67,128,150
33,4,76,107,466,494
33,5,463,495,289,317
34,1,291,317,59,87
34,2,229,257,198,225
34,3,33,65,125,147
34,4,76,107,466,494
34,5,463,495,290,318
35,1,292,318,59,87
35,2,229,257,198,225
35,3,31,63,123,145
35,4,76,107,466,494
35,5,464,496,290,318
36,1,292,318,59,87
36,2,229,257,199,226
36,3,29,61,121,143
36,4,75,106,466,494
36,5,465,497,290,318
37,1,292,318,59,87
37,2,229,257,199,226
37,3,27,59,119,141
37,4,75,106,466,494
37,5,465,497,291,319
38,1,292,318,59,87
38,2,229,257,199,226
38,3,25,57,116,138
38,4,75,106,466,494
38,5,466,498,291,319
39,1,293,319,59,87
39,2,229,257,199,226
39,3,23,55,114,136
39,4,75,106,466,494
