Frame,Track_ID,x_min,x_max,y_min,y_max
3,1,281,307,58,86
3,2,228,256,191,218
3,3,101,133,203,225
3,4,80,111,466,494
3,5,442,474,277,305
4,1,280,306,58,86
4,2,228,256,191,218
4,3,101,133,203,225
4,4,79,110,466,494
4,5,442,474,277,305
5,1,280,306,58,86
5,2,228,256,191,218
5,3,101,133,203,225
5,4,79,110,466,494
5,5,441,473,277,305
6,1,280,306,57,85
6,2,228,256,190,217
6,3,101,133,203,225
6,4,78,109,466,494
6,5,441,473,277,305
7,1,279,305,57,85
7,2,228,256,190,217
7,3,101,133,204,226
7,4,78,109,466,494
7,5,440,472,277,305
8,1,279,305,56,84
8,2,228,256,189,216
8,3,101,133,204,226
8,4,77,108,466,494
8,5,440,472,277,305
9,1,279,305,56,84
9,2,228,256,189,216
9,3,101,133,204,226
9,4,77,108,466,494
9,5,440,472,277,305
10,1,278,304,56,84
10,2,228,256,189,216
10,3,101,133,204,226
10,4,76,107,466,494
10,5,440,472,277,305
11,1,278,304,56,84
11,2,228,256,189,216
11,3,101,133,204,226
11,4,76,107,466,494
11,5,439,471,277,305
12,1,278,304,56,84
12,2,228,256,189,216
12,3,101,133,205,227
12,4,75,106,466,494
12,5,439,471,277,305
13,1,277,303,55,83
13,2,228,256,188,215
13,3,101,133,205,227
13,4,75,106,466,494
13,5,439,471,277,305
14,1,277,303,55,83
14,2,228,256,188,215
14,3,101,133,205,227
14,4,74,105,466,494
14,5,438,470,277,305
15,1,277,303,55,83
15,2,228,256,188,215
15,3,101,133,205,227
15,4,74,105,465,493
15,5,438,470,277,305
16,1,276,302,55,83
16,2,228,256,188,215
16,3,101,133,205,227
16,4,73,104,465,493
16,5,438,470,277,305
17,1,276,302,55,83
17,2,228,256,188,215
17,3,101,133,206,228
17,4,73,104,464,492
17,5,438,470,277,305
18,1,276,302,55,83
18,2,228,256,187,214
18,3,101,133,206,228
18,4,72,103,464,492
18,5,437,469,277,305
19,1,275,301,54,82
19,2,228,256,187,214
19,3,101,133,206,228
19,4,72,103,464,492
19,5,437,469,277,305
20,1,275,301,54,82
20,2,228,256,187,214
20,3,101,133,206,228
20,4,71,102,464,492
20,5,437,469,277,305
21,1,275,301,54,82
21,2,228,256,187,214
21,3,101,133,207,229
21,4,71,102,464,492
21,5,437,469,277,305
22,1,274,300,54,82
22,2,228,256,187,214
22,3,101,133,207,229
22,4,70,101,464,492
22,5,436,468,277,305
23,1,274,300,54,82
23,2,227,255,186,213
23,3,101,133,207,229
23,4,70,101,464,492
23,5,436,468,277,305
24,1,274,300,53,81
24,2,227,255,186,213
24,3,101,133,207,229
24,4,69,100,464,492
24,5,436,468,277,305
25,1,273,299,53,81
25,2,226,254,186,213
25,3,101,133,207,229
25,4,69,100,464,492
25,5,436,468,277,305
26,1,273,299,53,81
26,2,226,254,186,213
26,3,101,133,208,230
26,4,69,100,464,492
26,5,436,468,277,305
27,1,273,299,53,81
27,2,226,254,186,213
27,3,101,133,208,230
27,4,68,99,464,492
27,5,435,467,277,305
28,1,272,298,53,81
28,2,226,254,185,212
28,3,101,133,208,230
28,4,68,99,464,492
28,5,435,467,277,305
29,1,272,298,52,80
29,2,226,254,185,212
29,3,101,133,208,230
29,4,67,98,464,492
29,5,435,467,277,305
30,1,272,298,52,80
30,2,226,254,185,212
30,3,101,133,208,230
30,4,67,98,464,492
30,5,435,467,277,305
31,1,271,297,52,80
31,2,226,254,185,212
31,3,102,134,209,231
31,4,66,97,464,492
31,5,434,466,277,305
32,1,271,297,52,80
32,2,226,254,185,212
32,3,102,134,209,231
32,4,66,97,463,491
32,5,434,466,277,305
33,1,271,297,52,80
33,2,226,254,184,211
33,3,102,134,209,231
33,4,65,96,463,491
33,5,434,466,277,305
34,1,270,296,52,80
34,2,226,254,184,211
34,3,102,134,209,231
34,4,65,96,463,491
34,5,434,466,277,305
35,1,270,296,51,79
35,2,226,254,184,211
35,3,102,134,210,232
35,4,64,95,463,491
35,5,433,465,277,305
36,1,270,296,51,79
36,2,226,254,184,211
36,3,102,134,210,232
36,4,64,95,463,491
36,5,433,465,277,305
37,1,269,295,51,79
37,2,226,254,184,211
37,3,102,134,210,232
37,4,63,94,463,491
37,5,433,465,277,305
38,1,269,295,51,79
38,2,226,254,183,210
38,3,102,134,210,232
38,4,63,94,463,491
38,5,433,465,277,305
39,1,269,295,51,79
39,2,226,254,183,210
39,3,102,134,210,232
39,4,62,93,463,491
39,5,432,464,277,305
40,1,268,294,50,78
40,2,226,254,183,210
40,3,102,134,211,233
40,4,62,93,463,491
40,5,432,464,278,306
41,1,268,294,50,78
41,2,226,254,183,210
41,3,102,134,211,233
41,4,61,92,463,491
41,5,432,464,278,306
42,1,268,294,50,78
42,2,226,254,183,210
42,3,102,134,211,233
42,4,61,92,463,491
42,5,432,464,278,306
43,1,267,293,50,78
43,2,226,254,182,209
43,3,102,134,211,233
43,4,60,91,463,491
43,5,431,463,278,306
44,1,267,293,50,78
44,2,226,254,182,209
44,3,102,134,211,233
44,4,60,91,463,491
44,5,431,463,278,306
45,1,267,293,50,78
45,2,226,254,182,209
45,3,102,134,212,234
45,4,59,90,463,491
45,5,431,463,278,306
46,1,266,292,49,77
46,2,226,254,182,209
46,3,102,134,212,234
46,4,59,90,463,491
46,5,431,463,278,306
47,1,266,292,49,77
47,2,226,254,182,209
47,3,102,134,212,234
47,4,58,89,462,490
47,5,430,462,278,306
48,1,266,292,49,77
48,2,225,253,181,208
48,3,102,134,212,234
48,4,58,89,462,490
48,5,430,462,278,306
49,1,265,291,49,77
49,2,225,253,181,208
49,3,102,134,212,234
49,4,57,88,462,490
49,5,430,462,278,306
50,1,265,291,49,77
50,2,225,253,181,208
50,3,102,134,213,235
50,4,57,88,462,490
50,5,430,462,278,306
51,1,265,291,48,76
51,2,225,253,181,208
51,3,102,134,213,235
51,4,57,88,462,490
51,5,430,462,278,306
52,1,264,290,48,76
52,2,225,253,181,208
52,3,102,134,213,235
52,4,56,87,462,490
52,5,429,461,278,306
53,1,264,290,48,76
53,2,225,253,180,207
53,3,102,134,213,235
53,4,56,87,462,490
53,5,429,461,278,306
54,1,264,290,48,76
54,2,225,253,180,207
54,3,102,134,214,236
54,4,55,86,462,490
54,5,429,461,278,306
55,1,263,289,48,76
55,2,225,253,180,207
55,3,102,134,214,236
55,4,55,86,462,490
55,5,429,461,278,306
56,1,263,289,47,75
56,2,225,253,180,207
56,3,102,134,214,236
56,4,54,85,462,490
56,5,428,460,278,306
57,1,263,289,47,75
57,2,225,253,180,207
57,3,102,134,214,236
57,4,54,85,462,490
57,5,428,460,278,306
58,1,262,288,47,75
58,2,225,253,179,206
58,3,102,134,214,236
58,4,53,84,462,490
58,5,428,460,278,306
59,1,262,288,47,75
59,2,225,253,179,206
59,3,102,134,215,237
59,4,53,84,462,490
59,5,428,460,278,306
60,1,261,287,47,75
60,2,225,253,179,206
60,3,103,135,215,237
60,4,52,83,462,490
60,5,427,459,278,306
61,1,261,287,47,75
61,2,225,253,179,206
61,3,103,135,215,237
61,4,52,83,462,490
61,5,427,459,278,306
62,1,261,287,46,74
62,2,225,253,179,206
62,3,103,135,215,237
62,4,51,82,461,489
62,5,427,459,278,306
63,1,260,286,46,74
63,2,225,253,178,205
63,3,103,135,215,237
63,4,51,82,461,489
63,5,427,459,278,306
64,1,260,286,46,74
64,2,225,253,178,205
64,3,103,135,216,238
64,4,50,81,461,489
64,5,426,458,278,306
65,1,260,286,46,74
65,2,225,253,178,205
65,3,103,135,216,238
65,4,50,81,461,489
65,5,426,458,278,306
66,1,259,285,46,74
66,2,225,253,178,205
66,3,103,135,216,238
66,4,49,80,461,489
66,5,426,458,278,306
67,1,259,285,45,73
67,2,225,253,178,205
67,3,103,135,217,239
67,4,49,80,461,489
67,5,426,458,278,306
68,1,259,285,45,73
68,2,225,253,177,204
68,3,103,135,217,239
68,4,48,79,461,489
68,5,425,457,278,306
69,1,258,284,45,73
69,2,225,253,177,204
69,3,103,135,217,239
69,4,48,79,461,489
69,5,425,457,278,306
70,1,258,284,45,73
70,2,225,253,177,204
70,3,103,135,217,239
70,4,47,78,461,489
70,5,425,457,278,306
71,1,258,284,45,73
71,2,224,252,177,204
71,3,103,135,217,239
71,4,47,78,461,489
71,5,425,457,278,306
72,1,257,283,44,72
72,2,224,252,177,204
72,3,103,135,217,239
72,4,46,77,461,489
72,5,424,456,278,306
73,1,257,283,44,72
73,2,224,252,176,203
73,3,103,135,218,240
73,4,46,77,461,489
73,5,424,456,278,306
74,1,257,283,44,72
74,2,224,252,176,203
74,3,103,135,218,240
74,4,46,77,461,489
74,5,424,456,278,306
75,1,256,282,44,72
75,2,224,252,176,203
75,3,103,135,218,240
75,4,45,76,461,489
75,5,424,456,278,306
76,1,256,282,44,72
76,2,224,252,176,203
76,3,103,135,218,240
76,4,45,76,461,489
76,5,424,456,278,306
77,1,256,282,44,72
77,2,224,252,176,203
77,3,103,135,218,240
77,4,44,75,460,488
77,5,423,455,279,307
78,1,255,281,43,71
78,2,224,252,175,202
78,3,103,135,219,241
78,4,44,75,460,488
78,5,423,455,279,307
79,1,255,281,43,71
79,2,224,252,175,202
79,3,103,135,219,241
79,4,43,74,460,488
79,5,423,455,279,307
80,1,255,281,43,71
80,2,224,252,175,202
80,3,103,135,219,241
80,4,43,74,460,488
80,5,423,455,279,307
81,1,254,280,43,71
81,2,224,252,175,202
81,3,103,135,219,241
81,4,42,73,460,488
81,5,422,454,279,307
82,1,254,280,43,71
82,2,224,252,175,202
82,3,103,135,219,241
82,4,42,73,460,488
82,5,422,454,279,307
83,1,254,280,42,70
83,2,224,252,174,201
83,3,103,135,220,242
83,4,41,72,460,488
83,5,422,454,279,307
84,1,253,279,42,70
84,2,224,252,174,201
84,3,103,135,220,242
84,4,41,72,460,488
84,5,422,454,279,307
85,1,253,279,42,70
85,2,224,252,174,201
85,3,103,135,220,242
85,4,40,71,460,488
85,5,421,453,279,307
86,1,253,279,42,70
86,2,224,252,174,201
86,3,103,135,220,242
86,4,40,71,460,488
86,5,421,453,279,307
87,1,252,278,42,70
87,2,224,252,174,201
87,3,103,135,221,243
87,4,39,70,460,488
87,5,421,453,279,307
88,1,252,278,42,70
88,2,224,252,173,200
88,3,103,135,221,243
88,4,39,70,460,488
88,5,421,453,279,307
89,1,252,278,41,69
89,2,224,252,173,200
89,3,104,136,221,243
89,4,38,69,460,488
89,5,420,452,279,307
90,1,251,277,41,69
90,2,224,252,173,200
90,3,104,136,221,243
90,4,38,69,460,488
90,5,420,452,279,307
91,1,251,277,41,69
91,2,224,252,173,200
91,3,104,136,221,243
91,4,37,68,460,488
91,5,420,452,279,307
92,1,251,277,41,69
92,2,224,252,173,200
92,3,104,136,222,244
92,4,37,68,459,487
92,5,420,452,279,307
93,1,250,276,41,69
93,2,224,252,172,199
93,3,104,136,222,244
93,4,36,67,459,487
93,5,419,451,279,307
94,1,250,276,40,68
94,2,223,251,172,199
94,3,104,136,222,244
94,4,36,67,459,487
94,5,419,451,279,307
95,1,250,276,40,68
95,2,223,251,172,199
95,3,104,136,222,244
95,4,35,66,459,487
95,5,419,451,279,307
96,1,249,275,40,68
96,2,223,251,172,199
96,3,104,136,222,244
96,4,35,66,459,487
96,5,419,451,279,307
97,1,249,275,40,68
97,2,223,251,172,199
97,3,104,136,223,245
97,4,34,65,459,487
97,5,418,450,279,307
98,1,249,275,40,68
98,2,223,251,171,198
98,3,104,136,223,245
