1,1,118.78539412693323,282,308,58,86
1,2,94.72772430544094,228,256,191,218
1,3,1215.5750315736293,99,131,201,223
1,4,60.348715053461575,81,112,466,494
1,5,307.96126112316045,442,474,277,305
2,1,118.78539412693323,282,308,58,86
2,2,94.72772430544094,228,256,191,218
2,3,1215.5750315736293,97,129,199,221
2,4,60.348715053461575,81,112,466,494
2,5,307.96126112316045,443,475,277,305
3,1,118.78539412693323,282,308,58,86
3,2,94.72772430544094,228,256,191,218
3,3,1215.5750315736293,95,127,197,219
3,4,60.348715053461575,81,112,466,494
3,5,307.96126112316045,443,475,278,306
4,1,118.78539412693323,283,309,58,86
4,2,94.72772430544094,228,256,191,218
4,3,1215.5750315736293,93,125,194,216
4,4,60.348715053461575,81,112,466,494
4,5,307.96126112316045,444,476,278,306
5,1,118.78539412693323,283,309,58,86
5,2,94.72772430544094,228,256,192,219
5,3,1215.5750315736293,91,123,192,214
5,4,60.348715053461575,81,112,466,494
5,5,307.96126112316045,445,477,278,306
6,1,118.78539412693323,283,309,58,86
6,2,94.72772430544094,228,256,192,219
6,3,1215.5750315736293,89,121,190,212
6,4,60.348715053461575,81,112,466,494
6,5,307.96126112316045,445,477,279,307
7,1,118.78539412693323,284,310,58,86
7,2,94.72772430544094,228,256,192,219
7,3,1215.5750315736293,87,119,188,210
7,4,60.348715053461575,80,111,466,494
7,5,307.96126112316045,446,478,279,307
8,1,118.78539412693323,284,310,58,86
8,2,94.72772430544094,228,256,192,219
8,3,1215.5750315736293,85,117,185,207
8,4,60.348715053461575,80,111,466,494
8,5,307.96126112316045,447,479,280,308
9,1,118.78539412693323,284,310,58,86
9,2,94.72772430544094,228,256,193,220
9,3,1215.5750315736293,83,115,183,205
9,4,60.348715053461575,80,111,466,494
9,5,307.96126112316045,447,479,280,308
10,1,118.78539412693323,284,310,58,86
10,2,94.72772430544094,228,256,193,220
10,3,1215.5750315736293,81,113,181,203
10,4,60.348715053461575,80,111,466,494
10,5,307.96126112316045,448,480,280,308
11,1,118.78539412693323,285,311,58,86
11,2,94.72772430544094,228,256,193,220
11,3,1215.5750315736293,79,111,178,200
11,4,60.348715053461575,80,111,466,494
11,5,307.96126112316045,449,481,281,309
12,1,118.78539412693323,285,311,58,86
12,2,94.72772430544094,228,256,193,220
12,3,1215.5750315736293,77,109,176,198
12,4,60.348715053461575,80,111,466,494
12,5,307.96126112316045,449,481,281,309
13,1,118.78539412693323,285,311,58,86
13,2,94.72772430544094,228,256,194,221
13,3,1215.5750315736293,75,107,174,196
13,4,60.348715053461575,80,111,466,494
13,5,307.96126112316045,450,482,282,310
14,1,118.78539412693323,286,312,58,86
14,2,94.72772430544094,228,256,194,221
14,3,1215.5750315736293,73,105,172,194
14,4,60.348715053461575,79,110,466,494
14,5,307.96126112316045,451,483,282,310
15,1,118.78539412693323,286,312,58,86
15,2,94.72772430544094,228,256,194,221
15,3,1215.5750315736293,71,103,169,191
15,4,60.348715053461575,79,110,466,494
15,5,307.96126112316045,451,483,282,310
16,1,118.78539412693323,286,312,58,86
16,2,94.72772430544094,228,256,194,221
16,3,1215.5750315736293,69,101,167,189
16,4,60.348715053461575,79,110,466,494
16,5,307.96126112316045,452,484,283,311
17,1,118.78539412693323,287,313,58,86
17,2,94.72772430544094,228,256,194,221
17,3,1215.5750315736293,67,99,165,187
17,4,60.348715053461575,79,110,466,494
17,5,307.96126112316045,453,485,283,311
18,1,118.78539412693323,287,313,58,86
18,2,94.72772430544094,228,256,195,222
18,3,1215.5750315736293,65,97,163,185
18,4,60.348715053461575,79,110,466,494
18,5,307.96126112316045,453,485,284,312
19,1,118.78539412693323,287,313,58,86
19,2,94.72772430544094,228,256,195,222
19,3,1215.5750315736293,63,95,160,182
